State,Year,Age,Total
Perak,1986,55 to 59,33700
Perak,1986,60 to 64,18400
Perak,1987,15 to 19,82600
Perak,1987,20 to 24,123700
Perak,1987,25 to 29,106700
Perak,1987,30 to 34,89400
Perak,1987,35 to 39,86100
Perak,1987,40 to 44,65000
Perak,1987,45 to 49,65200
Perak,1987,50 to 54,49900
Perak,1987,55 to 59,36200
Perak,1987,60 to 64,23900
Perak,1988,15 to 19,76500
Perak,1988,20 to 24,131400
Perak,1988,25 to 29,93500
Perak,1988,30 to 34,87200
Perak,1988,35 to 39,83800
Perak,1988,40 to 44,66000
Perak,1988,45 to 49,61500
Perak,1988,50 to 54,56300
Perak,1988,55 to 59,36100
Perak,1988,60 to 64,22700
Perak,1989,15 to 19,74900
Perak,1989,20 to 24,120100
Perak,1989,25 to 29,108100
Perak,1989,30 to 34,90200
Perak,1989,35 to 39,79200
Perak,1989,40 to 44,76400
Perak,1989,45 to 49,66500
Perak,1989,50 to 54,54900
Perak,1989,55 to 59,33600
Perak,1989,60 to 64,22500
Perak,1990,15 to 19,71000
Perak,1990,20 to 24,108500
Perak,1990,25 to 29,106400
Perak,1990,30 to 34,96000
Perak,1990,35 to 39,81600
Perak,1990,40 to 44,70500
Perak,1990,45 to 49,58700
Perak,1990,50 to 54,53200
Perak,1990,55 to 59,35200
Perak,1990,60 to 64,25700
Perak,1992,15 to 19,62100
Perak,1992,20 to 24,107100
Perak,1992,25 to 29,107000
Perak,1992,30 to 34,95000
Perak,1992,35 to 39,88900
Perak,1992,40 to 44,80500
Perak,1992,45 to 49,63000
Perak,1992,50 to 54,53900
Perak,1992,55 to 59,37900
Perak,1992,60 to 64,24200
Perak,1993,15 to 19,62900
Perak,1993,20 to 24,95100
Perak,1993,25 to 29,93600
Perak,1993,30 to 34,93200
Perak,1993,35 to 39,91600
Perak,1993,40 to 44,87200
Perak,1993,45 to 49,64100
Perak,1993,50 to 54,54400
Perak,1993,55 to 59,38100
Perak,1993,60 to 64,19500
Perak,1995,15 to 19,52600
Perak,1995,20 to 24,91200
Perak,1995,25 to 29,78300
Perak,1995,30 to 34,85700
Perak,1995,35 to 39,95200
Perak,1995,40 to 44,78700
Perak,1995,45 to 49,72700
Perak,1995,50 to 54,53100
Perak,1995,55 to 59,33800
Perak,1995,60 to 64,18700
Perak,1996,15 to 19,63800
Perak,1996,20 to 24,101900
Perak,1996,25 to 29,96000
Perak,1996,30 to 34,101400
Perak,1996,35 to 39,100400
Perak,1996,40 to 44,86300
Perak,1996,45 to 49,82100
Perak,1996,50 to 54,52800
Perak,1996,55 to 59,37600
Perak,1996,60 to 64,24700
Perak,1997,15 to 19,54600
Perak,1997,20 to 24,107300
Perak,1997,25 to 29,105100
Perak,1997,30 to 34,105500
Perak,1997,35 to 39,105600
Perak,1997,40 to 44,89100
Perak,1997,45 to 49,79900
Perak,1997,50 to 54,55900
Perak,1997,55 to 59,36300
Perak,1997,60 to 64,21200
Perak,1998,15 to 19,51600
Perak,1998,20 to 24,104200
Perak,1998,25 to 29,92600
Perak,1998,30 to 34,85200
Perak,1998,35 to 39,90500
Perak,1998,40 to 44,90600
Perak,1998,45 to 49,79600
Perak,1998,50 to 54,58000
Perak,1998,55 to 59,36400
Perak,1998,60 to 64,24100
Perak,1999,15 to 19,49000
Perak,1999,20 to 24,101100
Perak,1999,25 to 29,96000
Perak,1999,30 to 34,95500
Perak,1999,35 to 39,94900
Perak,1999,40 to 44,88500
Perak,1999,45 to 49,75500
Perak,1999,50 to 54,58100
Perak,1999,55 to 59,34200
Perak,1999,60 to 64,22800
Perak,2000,15 to 19,56000
Perak,2000,20 to 24,106900
Perak,2000,25 to 29,92300
Perak,2000,30 to 34,100500
Perak,2000,35 to 39,104700
Perak,2000,40 to 44,101200
Perak,2000,45 to 49,83600
Perak,2000,50 to 54,64200
Perak,2000,55 to 59,37100
Perak,2000,60 to 64,24700
Perak,2001,15 to 19,50400
Perak,2001,20 to 24,110400
Perak,2001,25 to 29,92500
Perak,2001,30 to 34,101900
Perak,2001,35 to 39,98800
Perak,2001,40 to 44,95500
Perak,2001,45 to 49,85800
Perak,2001,50 to 54,67400
Perak,2001,55 to 59,36600
Perak,2001,60 to 64,22000
Perak,2002,15 to 19,46600
Perak,2002,20 to 24,109100
Perak,2002,25 to 29,103000
Perak,2002,30 to 34,104200
Perak,2002,35 to 39,109800
Perak,2002,40 to 44,111300
Perak,2002,45 to 49,104100
Perak,2002,50 to 54,68700
Perak,2002,55 to 59,39200
Perak,2002,60 to 64,24700
Perak,2003,15 to 19,44600
Perak,2003,20 to 24,113500
Perak,2003,25 to 29,95000
Perak,2003,30 to 34,94700
Perak,2003,35 to 39,95100
Perak,2003,40 to 44,100000
Perak,2003,45 to 49,91800
Perak,2003,50 to 54,69800
Perak,2003,55 to 59,41700
Perak,2003,60 to 64,25300
Perak,2004,15 to 19,48300
Perak,2004,20 to 24,132700
Perak,2004,25 to 29,104200
Perak,2004,30 to 34,95700
Perak,2004,35 to 39,107300
Perak,2004,40 to 44,98400
Perak,2004,45 to 49,91700
Perak,2004,50 to 54,71600
Perak,2004,55 to 59,41500
Perak,2004,60 to 64,26900
Perak,2005,15 to 19,42000
Perak,2005,20 to 24,142300
Perak,2005,25 to 29,112500
Perak,2005,30 to 34,95300
Perak,2005,35 to 39,105200
Perak,2005,40 to 44,98000
Perak,2005,45 to 49,91500
Perak,2005,50 to 54,74400
Perak,2005,55 to 59,43300
Perak,2005,60 to 64,24200
Perak,2006,15 to 19,41300
Perak,2006,20 to 24,141400
Perak,2006,25 to 29,119400
Perak,2006,30 to 34,97200
Perak,2006,35 to 39,101400
Perak,2006,40 to 44,99500
Perak,2006,45 to 49,92800
Perak,2006,50 to 54,78900
Perak,2006,55 to 59,45900
Perak,2006,60 to 64,27600
Perak,2007,15 to 19,37400
Perak,2007,20 to 24,147500
Perak,2007,25 to 29,133200
Perak,2007,30 to 34,97900
Perak,2007,35 to 39,100600
Perak,2007,40 to 44,101200
Perak,2007,45 to 49,94800
Perak,2007,50 to 54,82200
Perak,2007,55 to 59,52300
Perak,2007,60 to 64,30800
Perak,2008,15 to 19,36700
Perak,2008,20 to 24,153200
Perak,2008,25 to 29,149200
Perak,2008,30 to 34,100100
Perak,2008,35 to 39,96200
Perak,2008,40 to 44,102300
Perak,2008,45 to 49,92900
Perak,2008,50 to 54,83400
Perak,2008,55 to 59,50000
Perak,2008,60 to 64,28500
Perak,2009,15 to 19,39100
Perak,2009,20 to 24,155800
Perak,2009,25 to 29,161200
Perak,2009,30 to 34,107700
Perak,2009,35 to 39,94300
Perak,2009,40 to 44,102700
Perak,2009,45 to 49,94200
Perak,2009,50 to 54,86600
Perak,2009,55 to 59,51800
Perak,2009,60 to 64,30500
Perak,2010,15 to 19,34700
Perak,2010,20 to 24,135300
Perak,2010,25 to 29,134200
Perak,2010,30 to 34,112000
Perak,2010,35 to 39,107300
Perak,2010,40 to 44,105200
Perak,2010,45 to 49,105200
Perak,2010,50 to 54,87300
Perak,2010,55 to 59,52100
Perak,2010,60 to 64,32700
Perak,2011,15 to 19,40200
Perak,2011,20 to 24,135600
Perak,2011,25 to 29,140700
Perak,2011,30 to 34,119200
Perak,2011,35 to 39,107100
Perak,2011,40 to 44,107400
Perak,2011,45 to 49,108300
Perak,2011,50 to 54,89400
Perak,2011,55 to 59,59300
Perak,2011,60 to 64,37300
Perak,2012,15 to 19,36600
Perak,2012,20 to 24,145500
Perak,2012,25 to 29,147800
Perak,2012,30 to 34,117100
Perak,2012,35 to 39,109700
Perak,2012,40 to 44,102900
Perak,2012,45 to 49,104600
Perak,2012,50 to 54,92000
Perak,2012,55 to 59,63000
Perak,2012,60 to 64,36100
Perak,2013,15 to 19,42500
Perak,2013,20 to 24,158500
Perak,2013,25 to 29,155100
Perak,2013,30 to 34,117200
Perak,2013,35 to 39,111100
Perak,2013,40 to 44,104100
Perak,2013,45 to 49,104900
Perak,2013,50 to 54,92800
Perak,2013,55 to 59,63900
Perak,2013,60 to 64,35000
Perak,2014,15 to 19,39500
Perak,2014,20 to 24,160400
Perak,2014,25 to 29,165700
Perak,2014,30 to 34,120900
Perak,2014,35 to 39,112500
Perak,2014,40 to 44,101700
Perak,2014,45 to 49,102000
Perak,2014,50 to 54,92900
Perak,2014,55 to 59,59600
Perak,2014,60 to 64,32100
Perak,2015,15 to 19,39500
Perak,2015,20 to 24,165500
Perak,2015,25 to 29,175200
Perak,2015,30 to 34,128900
Perak,2015,35 to 39,110600
Perak,2015,40 to 44,102000
Perak,2015,45 to 49,102300
Perak,2015,50 to 54,93000
Perak,2015,55 to 59,64200
Perak,2015,60 to 64,33100
Perak,2016,15 to 19,41000
Perak,2016,20 to 24,153700
Perak,2016,25 to 29,177800
Perak,2016,30 to 34,126700
Perak,2016,35 to 39,116000
Perak,2016,40 to 44,105200
Perak,2016,45 to 49,102400
Perak,2016,50 to 54,94400
Perak,2016,55 to 59,68900
Perak,2016,60 to 64,36800
Perak,2017,15 to 19,40700
Perak,2017,20 to 24,165200
Perak,2017,25 to 29,185700
Perak,2017,30 to 34,137800
Perak,2017,35 to 39,115200
Perak,2017,40 to 44,108100
Perak,2017,45 to 49,104900
Perak,2017,50 to 54,96300
Perak,2017,55 to 59,65600
Perak,2017,60 to 64,33000
Perak,2018,15 to 19,38300
Perak,2018,20 to 24,161000
Perak,2018,25 to 29,194600
Perak,2018,30 to 34,149500
Perak,2018,35 to 39,115500
Perak,2018,40 to 44,107500
Perak,2018,45 to 49,102300
Perak,2018,50 to 54,95400
Perak,2018,55 to 59,68500
Perak,2018,60 to 64,37200
Perak,2019,15 to 19,40300
Perak,2019,20 to 24,169000
Perak,2019,25 to 29,205700
Perak,2019,30 to 34,151800
Perak,2019,35 to 39,113700
Perak,2019,40 to 44,104400
Perak,2019,45 to 49,98800
Perak,2019,50 to 54,93200
Perak,2019,55 to 59,67100
Perak,2019,60 to 64,36400
Perak,2020,15 to 19,35000
Perak,2020,20 to 24,153500
Perak,2020,25 to 29,209800
Perak,2020,30 to 34,162900
Perak,2020,35 to 39,117000
Perak,2020,40 to 44,105200
Perak,2020,45 to 49,99300
Perak,2020,50 to 54,94500
Perak,2020,55 to 59,79100
Perak,2020,60 to 64,39500
Perak,2021,15 to 19,29800
Perak,2021,20 to 24,154400
Perak,2021,25 to 29,222200
Perak,2021,30 to 34,174400
Perak,2021,35 to 39,124500
Perak,2021,40 to 44,107700
Perak,2021,45 to 49,91600
Perak,2021,50 to 54,89000
Perak,2021,55 to 59,68000
Perak,2021,60 to 64,38900
Perlis,1982,15 to 19,6200
Perlis,1982,20 to 24,9900
Perlis,1982,25 to 29,7100
Perlis,1982,30 to 34,6900
Perlis,1982,35 to 39,5400
Perlis,1982,40 to 44,7300
Perlis,1982,45 to 49,4900
Perlis,1982,50 to 54,5600
Perlis,1982,55 to 59,2900
Perlis,1982,60 to 64,1900
Perlis,1983,15 to 19,6300
Perlis,1983,20 to 24,9800
Perlis,1983,25 to 29,6200
Perlis,1983,30 to 34,8000
Perlis,1983,35 to 39,7200
Perlis,1983,40 to 44,10200
Perlis,1983,45 to 49,7100
Perlis,1983,50 to 54,4800
Perlis,1983,55 to 59,3700
Perlis,1983,60 to 64,2700
Perlis,1984,15 to 19,7200
Perlis,1984,20 to 24,8900
Perlis,1984,25 to 29,9600
Perlis,1984,30 to 34,9700
Perlis,1984,35 to 39,8400
Perlis,1984,40 to 44,5900
Perlis,1984,45 to 49,7200
Perlis,1984,50 to 54,3100
Perlis,1984,55 to 59,2600
Perlis,1984,60 to 64,2200
Perlis,1985,15 to 19,5800
Perlis,1985,20 to 24,8800
Perlis,1985,25 to 29,9700
Perlis,1985,30 to 34,10400
Perlis,1985,35 to 39,8600
Perlis,1985,40 to 44,6600
Perlis,1985,45 to 49,6300
Perlis,1985,50 to 54,3800
Perlis,1985,55 to 59,3500
Perlis,1985,60 to 64,2100
Perlis,1986,15 to 19,5900
Perlis,1986,20 to 24,12900
Perlis,1986,25 to 29,9900
Perlis,1986,30 to 34,6900
Perlis,1986,35 to 39,5300
Perlis,1986,40 to 44,5200
Perlis,1986,45 to 49,6300
Perlis,1986,50 to 54,4500
Perlis,1986,55 to 59,3500
Perlis,1986,60 to 64,2200
Perlis,1987,15 to 19,6500
Perlis,1987,20 to 24,10800
Perlis,1987,25 to 29,9100
Perlis,1987,30 to 34,8700
Perlis,1987,35 to 39,8600
Perlis,1987,40 to 44,6800
Perlis,1987,45 to 49,4800
Perlis,1987,50 to 54,3600
Perlis,1987,55 to 59,4100
Perlis,1987,60 to 64,2000
Perlis,1988,15 to 19,5300
Perlis,1988,20 to 24,11000
Perlis,1988,25 to 29,11600
Perlis,1988,30 to 34,10300
Perlis,1988,35 to 39,8700
Perlis,1988,40 to 44,6200
Perlis,1988,45 to 49,6400
Perlis,1988,50 to 54,5800
Perlis,1988,55 to 59,2700
Perlis,1988,60 to 64,3000
Perlis,1989,15 to 19,5400
Perlis,1989,20 to 24,12800
Perlis,1989,25 to 29,9600
Perlis,1989,30 to 34,10400
Perlis,1989,35 to 39,9600
Perlis,1989,40 to 44,6000
Perlis,1989,45 to 49,6800
Perlis,1989,50 to 54,5400
Perlis,1989,55 to 59,2800
Perlis,1989,60 to 64,2200
Perlis,1990,15 to 19,3500
Perlis,1990,20 to 24,9900
Perlis,1990,25 to 29,7400
Perlis,1990,30 to 34,8500
Perlis,1990,35 to 39,8600
Perlis,1990,40 to 44,5600
Perlis,1990,45 to 49,4800
Perlis,1990,50 to 54,4800
Perlis,1990,55 to 59,3600
Perlis,1990,60 to 64,3100
Perlis,1992,15 to 19,4900
Perlis,1992,20 to 24,11100
Perlis,1992,25 to 29,8500
Perlis,1992,30 to 34,8200
Perlis,1992,35 to 39,8700
Perlis,1992,40 to 44,7700
Perlis,1992,45 to 49,6500
Perlis,1992,50 to 54,6100
Perlis,1992,55 to 59,3600
Perlis,1992,60 to 64,3500
Perlis,1993,15 to 19,3900
Perlis,1993,20 to 24,10300
Perlis,1993,25 to 29,10800
Perlis,1993,30 to 34,13300
Perlis,1993,35 to 39,6800
Perlis,1993,40 to 44,5400
Perlis,1993,45 to 49,5700
Perlis,1993,50 to 54,8200
Perlis,1993,55 to 59,3600
Perlis,1993,60 to 64,3800
Perlis,1995,15 to 19,5900
Perlis,1995,20 to 24,8800
Perlis,1995,25 to 29,8800
Perlis,1995,30 to 34,9000
Perlis,1995,35 to 39,9700
Perlis,1995,40 to 44,9900
Perlis,1995,45 to 49,7300
Perlis,1995,50 to 54,5500
Perlis,1995,55 to 59,3500
Perlis,1995,60 to 64,3300
Perlis,1996,15 to 19,4500
Perlis,1996,20 to 24,8600
Perlis,1996,25 to 29,8000
Perlis,1996,30 to 34,11000
Perlis,1996,35 to 39,10200
Perlis,1996,40 to 44,9100
Perlis,1996,45 to 49,7600
Perlis,1996,50 to 54,5800
Perlis,1996,55 to 59,4000
Perlis,1996,60 to 64,2600
Perlis,1997,15 to 19,4800
Perlis,1997,20 to 24,9100
Perlis,1997,25 to 29,7300
Perlis,1997,30 to 34,9600
Perlis,1997,35 to 39,10400
Perlis,1997,40 to 44,8700
Perlis,1997,45 to 49,8300
Perlis,1997,50 to 54,6800
Perlis,1997,55 to 59,4300
Perlis,1997,60 to 64,2400
Perlis,1998,15 to 19,5100
Perlis,1998,20 to 24,11200
Perlis,1998,25 to 29,7900
Perlis,1998,30 to 34,8000
Perlis,1998,35 to 39,9300
Perlis,1998,40 to 44,9500
Perlis,1998,45 to 49,9500
Perlis,1998,50 to 54,6700
Perlis,1998,55 to 59,4500
Perlis,1998,60 to 64,2600
Perlis,1999,15 to 19,5300
Perlis,1999,20 to 24,12000
Perlis,1999,25 to 29,8300
Perlis,1999,30 to 34,8700
Perlis,1999,35 to 39,10400
Perlis,1999,40 to 44,12000
Perlis,1999,45 to 49,10100
Perlis,1999,50 to 54,6600
Perlis,1999,55 to 59,5000
Perlis,1999,60 to 64,2900
Perlis,2000,15 to 19,4300
Perlis,2000,20 to 24,10000
Perlis,2000,25 to 29,9000
Perlis,2000,30 to 34,9700
Perlis,2000,35 to 39,10000
Perlis,2000,40 to 44,10500
Perlis,2000,45 to 49,9500
Perlis,2000,50 to 54,5700
Perlis,2000,55 to 59,4900
Perlis,2000,60 to 64,3500
Perlis,2001,15 to 19,5700
Perlis,2001,20 to 24,10700
Perlis,2001,25 to 29,7400
Perlis,2001,30 to 34,9200
Perlis,2001,35 to 39,12000
Perlis,2001,40 to 44,12300
Perlis,2001,45 to 49,11100
Perlis,2001,50 to 54,8700
Perlis,2001,55 to 59,5300
Perlis,2001,60 to 64,3500
Perlis,2002,15 to 19,4000
Perlis,2002,20 to 24,7300
Perlis,2002,25 to 29,6100
Perlis,2002,30 to 34,7000
Perlis,2002,35 to 39,6400
Perlis,2002,40 to 44,8200
Perlis,2002,45 to 49,8000
Perlis,2002,50 to 54,5600
Perlis,2002,55 to 59,3900
Perlis,2002,60 to 64,2500
Perlis,2003,15 to 19,5200
Perlis,2003,20 to 24,11000
Perlis,2003,25 to 29,9200
Perlis,2003,30 to 34,9100
Perlis,2003,35 to 39,9500
Perlis,2003,40 to 44,12000
Perlis,2003,45 to 49,8700
Perlis,2003,50 to 54,7400
Perlis,2003,55 to 59,4500
Perlis,2003,60 to 64,3400
Perlis,2004,15 to 19,4100
Perlis,2004,20 to 24,12500
Perlis,2004,25 to 29,9400
Perlis,2004,30 to 34,7600
Perlis,2004,35 to 39,9400
Perlis,2004,40 to 44,9500
Perlis,2004,45 to 49,8700
Perlis,2004,50 to 54,7600
Perlis,2004,55 to 59,4500
Perlis,2004,60 to 64,3100
Perlis,2005,15 to 19,3500
Perlis,2005,20 to 24,13900
Perlis,2005,25 to 29,9500
Perlis,2005,30 to 34,7500
Perlis,2005,35 to 39,9300
Perlis,2005,40 to 44,9800
Perlis,2005,45 to 49,8500
Perlis,2005,50 to 54,7000
Perlis,2005,55 to 59,4300
Perlis,2005,60 to 64,3000
Perlis,2006,15 to 19,3700
Perlis,2006,20 to 24,13200
Perlis,2006,25 to 29,10500
Perlis,2006,30 to 34,7700
Perlis,2006,35 to 39,9100
Perlis,2006,40 to 44,9100
Perlis,2006,45 to 49,8600
Perlis,2006,50 to 54,7100
Perlis,2006,55 to 59,4900
Perlis,2006,60 to 64,3100
Perlis,2007,15 to 19,3900
Perlis,2007,20 to 24,14200
Perlis,2007,25 to 29,12700
Perlis,2007,30 to 34,8100
Perlis,2007,35 to 39,8800
Perlis,2007,40 to 44,9700
Perlis,2007,45 to 49,9100
Perlis,2007,50 to 54,7600
Perlis,2007,55 to 59,4900
Perlis,2007,60 to 64,3500
Perlis,2008,15 to 19,4000
Perlis,2008,20 to 24,14100
Perlis,2008,25 to 29,14600
Perlis,2008,30 to 34,8200
Perlis,2008,35 to 39,8500
Perlis,2008,40 to 44,10200
Perlis,2008,45 to 49,9100
Perlis,2008,50 to 54,7500
Perlis,2008,55 to 59,4700
Perlis,2008,60 to 64,3100
Perlis,2009,15 to 19,3800
Perlis,2009,20 to 24,14100
Perlis,2009,25 to 29,15500
Perlis,2009,30 to 34,9000
Perlis,2009,35 to 39,7800
Perlis,2009,40 to 44,9900
Perlis,2009,45 to 49,9000
Perlis,2009,50 to 54,7200
Perlis,2009,55 to 59,4700
Perlis,2009,60 to 64,3300
Perlis,2010,15 to 19,4800
Perlis,2010,20 to 24,12900
Perlis,2010,25 to 29,12700
Perlis,2010,30 to 34,9500
Perlis,2010,35 to 39,8600
Perlis,2010,40 to 44,10000
Perlis,2010,45 to 49,9600
Perlis,2010,50 to 54,7900
Perlis,2010,55 to 59,4800
Perlis,2010,60 to 64,2900
Perlis,2011,15 to 19,4800
Perlis,2011,20 to 24,14300
Perlis,2011,25 to 29,13900
Perlis,2011,30 to 34,10000
Perlis,2011,35 to 39,8600
Perlis,2011,40 to 44,9500
Perlis,2011,45 to 49,9600
Perlis,2011,50 to 54,8000
Perlis,2011,55 to 59,5100
Perlis,2011,60 to 64,3100
Perlis,2012,15 to 19,4500
Perlis,2012,20 to 24,13300
Perlis,2012,25 to 29,14400
Perlis,2012,30 to 34,11100
Perlis,2012,35 to 39,9200
Perlis,2012,40 to 44,9600
Perlis,2012,45 to 49,10000
Perlis,2012,50 to 54,8800
Perlis,2012,55 to 59,6000
Perlis,2012,60 to 64,3800
Perlis,2013,15 to 19,4700
Perlis,2013,20 to 24,17300
Perlis,2013,25 to 29,15300
Perlis,2013,30 to 34,11700
Perlis,2013,35 to 39,9200
Perlis,2013,40 to 44,9500
Perlis,2013,45 to 49,10200
Perlis,2013,50 to 54,9400
Perlis,2013,55 to 59,6400
Perlis,2013,60 to 64,4200
Perlis,2014,15 to 19,3500
Perlis,2014,20 to 24,18000
Perlis,2014,25 to 29,16300
Perlis,2014,30 to 34,12900
Perlis,2014,35 to 39,9800
Perlis,2014,40 to 44,9100
Perlis,2014,45 to 49,10100
Perlis,2014,50 to 54,9000
Perlis,2014,55 to 59,6400
Perlis,2014,60 to 64,3500
Perlis,2015,15 to 19,3500
Perlis,2015,20 to 24,18200
Perlis,2015,25 to 29,17300
Perlis,2015,30 to 34,13600
Perlis,2015,35 to 39,10200
Perlis,2015,40 to 44,8800
Perlis,2015,45 to 49,10300
Perlis,2015,50 to 54,9600
Perlis,2015,55 to 59,6200
Perlis,2015,60 to 64,3600
Perlis,2016,15 to 19,3700
Perlis,2016,20 to 24,18500
Perlis,2016,25 to 29,17300
Perlis,2016,30 to 34,13700
Perlis,2016,35 to 39,10700
Perlis,2016,40 to 44,9000
Perlis,2016,45 to 49,10200
Perlis,2016,50 to 54,9900
Perlis,2016,55 to 59,6700
Perlis,2016,60 to 64,3700
Perlis,2017,15 to 19,2700
Perlis,2017,20 to 24,15700
Perlis,2017,25 to 29,17900
Perlis,2017,30 to 34,14500
Perlis,2017,35 to 39,10700
Perlis,2017,40 to 44,9000
Perlis,2017,45 to 49,10300
Perlis,2017,50 to 54,9900
Perlis,2017,55 to 59,7000
Perlis,2017,60 to 64,4100
Perlis,2018,15 to 19,3600
Perlis,2018,20 to 24,17000
Perlis,2018,25 to 29,18500
Perlis,2018,30 to 34,15300
Perlis,2018,35 to 39,12000
Perlis,2018,40 to 44,9500
Perlis,2018,45 to 49,10400
Perlis,2018,50 to 54,9900
Perlis,2018,55 to 59,7300
Perlis,2018,60 to 64,4200
Perlis,2019,15 to 19,2800
Perlis,2019,20 to 24,16100
Perlis,2019,25 to 29,23400
Perlis,2019,30 to 34,16400
Perlis,2019,35 to 39,12600
Perlis,2019,40 to 44,10000
Perlis,2019,45 to 49,9600
Perlis,2019,50 to 54,9800
Perlis,2019,55 to 59,7500
Perlis,2019,60 to 64,4000
Perlis,2020,15 to 19,3500
Perlis,2020,20 to 24,12100
Perlis,2020,25 to 29,24300
Perlis,2020,30 to 34,17100
Perlis,2020,35 to 39,12800
Perlis,2020,40 to 44,9800
Perlis,2020,45 to 49,8800
Perlis,2020,50 to 54,9800
Perlis,2020,55 to 59,8000
Perlis,2020,60 to 64,4100
Perlis,2021,15 to 19,2600
Perlis,2021,20 to 24,11800
Perlis,2021,25 to 29,25500
Perlis,2021,30 to 34,18600
Perlis,2021,35 to 39,14100
Perlis,2021,40 to 44,9700
Perlis,2021,45 to 49,8300
Perlis,2021,50 to 54,10200
Perlis,2021,55 to 59,7300
Perlis,2021,60 to 64,5100
Selangor,1982,15 to 19,75600
Selangor,1982,20 to 24,155300
Selangor,1982,25 to 29,130600
Selangor,1982,30 to 34,105500
Selangor,1982,35 to 39,69700
Selangor,1982,40 to 44,59200
Selangor,1982,45 to 49,43300
Selangor,1982,50 to 54,28600
Selangor,1982,55 to 59,14600
Selangor,1982,60 to 64,9600
Selangor,1983,15 to 19,93500
Selangor,1983,20 to 24,176300
Selangor,1983,25 to 29,149800
Selangor,1983,30 to 34,104100
Selangor,1983,35 to 39,79100
Selangor,1983,40 to 44,54600
Selangor,1983,45 to 49,44900
Selangor,1983,50 to 54,29500
Selangor,1983,55 to 59,15300
Selangor,1983,60 to 64,10100
Selangor,1984,15 to 19,76600
Selangor,1984,20 to 24,161000
Selangor,1984,25 to 29,139900
Selangor,1984,30 to 34,105700
Selangor,1984,35 to 39,77100
Selangor,1984,40 to 44,55900
Selangor,1984,45 to 49,45600
Selangor,1984,50 to 54,29500
Selangor,1984,55 to 59,16000
Selangor,1984,60 to 64,11500
Selangor,1985,15 to 19,72500
Selangor,1985,20 to 24,166300
Selangor,1985,25 to 29,144500
Selangor,1985,30 to 34,110300
Selangor,1985,35 to 39,82600
Selangor,1985,40 to 44,53000
Selangor,1985,45 to 49,51400
Selangor,1985,50 to 54,31100
Selangor,1985,55 to 59,18900
Selangor,1985,60 to 64,10000
Selangor,1986,15 to 19,81700
Selangor,1986,20 to 24,176700
Selangor,1986,25 to 29,154200
Selangor,1986,30 to 34,130600
Selangor,1986,35 to 39,103100
Selangor,1986,40 to 44,63100
Selangor,1986,45 to 49,54900
Selangor,1986,50 to 54,31400
Selangor,1986,55 to 59,18700
Selangor,1986,60 to 64,9200
Selangor,1987,15 to 19,85300
Selangor,1987,20 to 24,198700
Selangor,1987,25 to 29,173800
Selangor,1987,30 to 34,141000
Selangor,1987,35 to 39,107300
Selangor,1987,40 to 44,75500
Selangor,1987,45 to 49,62300
Selangor,1987,50 to 54,42000
Selangor,1987,55 to 59,20400
Selangor,1987,60 to 64,10400
Selangor,1988,15 to 19,88400
Selangor,1988,20 to 24,191400
Selangor,1988,25 to 29,181600
Selangor,1988,30 to 34,152700
Selangor,1988,35 to 39,113200
Selangor,1988,40 to 44,79400
Selangor,1988,45 to 49,63500
Selangor,1988,50 to 54,43700
Selangor,1988,55 to 59,20600
Selangor,1988,60 to 64,14400
Selangor,1989,15 to 19,79800
Selangor,1989,20 to 24,195200
Selangor,1989,25 to 29,185500
Selangor,1989,30 to 34,147800
Selangor,1989,35 to 39,117200
Selangor,1989,40 to 44,78500
Selangor,1989,45 to 49,61700
Selangor,1989,50 to 54,41200
Selangor,1989,55 to 59,19300
Selangor,1989,60 to 64,10600
Selangor,1990,15 to 19,92100
Selangor,1990,20 to 24,234500
Selangor,1990,25 to 29,212400
Selangor,1990,30 to 34,166800
Selangor,1990,35 to 39,124100
Selangor,1990,40 to 44,90200
Selangor,1990,45 to 49,63200
Selangor,1990,50 to 54,45400
Selangor,1990,55 to 59,19300
Selangor,1990,60 to 64,12100
Selangor,1992,15 to 19,87400
Selangor,1992,20 to 24,231100
Selangor,1992,25 to 29,221500
Selangor,1992,30 to 34,171700
Selangor,1992,35 to 39,143400
Selangor,1992,40 to 44,99600
Selangor,1992,45 to 49,62500
Selangor,1992,50 to 54,41500
Selangor,1992,55 to 59,21000
Selangor,1992,60 to 64,13100
Selangor,1993,15 to 19,89600
Selangor,1993,20 to 24,209500
Selangor,1993,25 to 29,210000
Selangor,1993,30 to 34,185300
Selangor,1993,35 to 39,148900
Selangor,1993,40 to 44,120800
Selangor,1993,45 to 49,65300
Selangor,1993,50 to 54,46500
Selangor,1993,55 to 59,21800
Selangor,1993,60 to 64,12600
Selangor,1995,15 to 19,90900
Selangor,1995,20 to 24,269300
Selangor,1995,25 to 29,262500
Selangor,1995,30 to 34,223500
Selangor,1995,35 to 39,187500
Selangor,1995,40 to 44,136800
Selangor,1995,45 to 49,92200
Selangor,1995,50 to 54,54100
Selangor,1995,55 to 59,33500
Selangor,1995,60 to 64,15600
Selangor,1996,15 to 19,93700
Selangor,1996,20 to 24,270300
Selangor,1996,25 to 29,254600
Selangor,1996,30 to 34,214800
Selangor,1996,35 to 39,188800
Selangor,1996,40 to 44,141300
Selangor,1996,45 to 49,101900
Selangor,1996,50 to 54,57400
Selangor,1996,55 to 59,30600
Selangor,1996,60 to 64,17700
